-63.763826852 -75.451689323  -0.10196669253536911 0.5334711936902001 -0.03186198581818077
-61.863972851999996 -73.88863432299999  -0.10433609767095306 0.5358962565442887 -0.03743165556353388
-59.96411985200002 -72.325579323  -0.09173878402208885 0.5414780604465944 -0.0613491681838373
-58.06426685200001 -70.762523323  -0.0716140743543249 0.5444433215285843 -0.09566974933737284
-56.164413852 -69.19946832299999  -0.05235782194167762 0.5388016485551651 -0.13061731448788413
-54.264559852 -67.636413323  -0.04023073477273031 0.5213366297317749 -0.15848210002928823
-52.36470685199999 -66.073358323  -0.0379981890135549 0.4922031915213502 -0.17540276893158138
-50.46485385200001 -64.51030332299999  -0.045230879172871656 0.4539010316733515 -0.181315726966186
-48.56499985200001 -62.947248323  -0.060188756029517454 0.40970982536206846 -0.17795215424430416
-46.665146852 -61.38419232299999  -0.08095504096591201 0.36289036805788477 -0.1674812485664246
-44.76529385199999 -59.821137322999995  -0.10556757010244804 0.31589103755986253 -0.1519993257218777
-42.865439852000016 -58.258082323  -0.13243902286514858 0.27068100709744713 -0.1331666750651893
-40.96558685200001 -56.695027323  -0.16026537952874143 0.22863736641700805 -0.11220598655395123
-39.065733852 -55.13197232299999  -0.1878317657301114 0.190592144133916 -0.09011188832407584
-37.165879851999996 -53.568917322999994  -0.21395833214580118 0.15692187969062493 -0.06753013535909778
-35.26602685200002 -52.005861323  -0.2378594178659824 0.1278557449929694 -0.04486309387951322
-33.36617385200001 -50.44280632299999  -0.25888348188216065 0.10308278576760682 -0.022441584944465628
-31.466319852000005 -48.879751322999994  -0.2764884451902371 0.08222940376171595 -0.0004512506706084406
-29.566466851999998 -47.316696322999995  -0.2904594223410774 0.06480501819524286 0.02116369955410965
-27.66661385199999 -45.753641323  -0.3005512904339786 0.042397979764043824 -9.340562564378315
-25.76676085200001 -44.19058632299999  0.06318459260478174 109.95492830414487 0.03790704789351836
-151.299567852 -42.627531323  -0.3082471786172006 0.0273117784603184
-149.39971485200002 -41.064475322999996  -0.30571603374127054 0.01787874626446661 0.10337256701231196
-147.499860852 -39.50142032299999  -0.29878856133946813 0.008950066710519617 0.122655841642386
-145.600007852 -37.938365323  -0.2875583004252686 -5.72728773124927e-06 0.141269315311128
-143.700154852 -36.375310322999994  -0.2718926173244926 -0.009558523864567877 0.15896855059508924
-141.80030085200002 -34.81225532299999  -0.25177822281780426 -0.020285161133214553 0.17553156313516155
-139.900447852 -33.249199323  -0.22728802264697898 -0.032688253051461856 0.19075880757266792
-138.000594852 -31.686144322999994  -0.19835976284774873 -0.0472192745480879 0.20431873917604831
-136.100740852 -30.123089322999988  -0.16499136438347548 -0.0641735545114591 0.21580809610365242
-134.200887852 -28.560034322999996  -0.12732825919493376 -0.08369782573350602 0.22493257207056092
-132.30103485200002 -26.99697932299999  -0.08549360755113412 -0.10576357771633764 0.23117574038463615
-130.401180852 -25.433924323  -0.03973504539918404 -0.1300123127783214 0.23424842810526794
