-96.23450480599999 -6.615082627000007  -0.0762065644555991 -0.3041577490084546 -0.1116209027958384
-94.931379806 -4.528350627000009  0.006350080782790607 -0.2824376181833167 -0.10796697702591095
-93.628255806 -2.441618627000011  0.08704001163108424 -0.24499385441693403 -0.10638733493355967
-92.325131806 -0.35488662699999907  0.15916644161998858 -0.1952234038855834 -0.10644650791358168
-152.563898806 -104.861837627  0.21776726746807706 -0.1370375464325133 -0.10779830497245568
-151.260774806 -102.775105627  0.2600100715942009 -0.0746625422940832 -0.11014561621512275
-149.957650806 -100.688373627  0.28578273731159115 -0.01225013087536265 -0.11359358953445126
-148.65452580599998 -98.601641627  0.29645374913029376 0.04652253101286707 -0.11839691800911988
-147.35140180599998 -96.51490962700001  0.29358096573475284 0.09882541887852513 -0.12478350743734822
-146.048276806 -94.428177627  0.2786607542094042 0.14340237855601215 -0.13298651401550474
-144.745152806 -92.341445627  0.2522583352378179 0.17951113687198575 -0.14309840191007786
-143.442028806 -90.254712627  0.21410001074215645 0.20600223080533184 -0.1551171976710788
-142.138903806 -88.167980627  0.16406043225495523 0.22091589455747954 -0.16877075489076776
-140.835779806 -86.08124862700001  0.10403103315558324 0.22201871319047892 -0.18335327418285002
-139.53265580599998 -83.994516627  0.03656335788827901 0.2069820512967952 -0.1978670706187987
-138.22953080599999 -81.90778462700001  -0.034882274103791064 0.17435066026471646 -0.211003353144708
-136.926406806 -79.821052627  -0.10627366974558755 0.12452056853154596 -0.22140027152747832
-135.623282806 -77.734320627  -0.17276971209237443 0.06004970447075345 -0.2281021638709438
-134.320157806 -75.647588627  -0.22957601284528706 -0.014361983085788803 -0.23053533555836753
