-102.750126806 -17.048743627000007  -0.2861712218366071 -0.130650279382392 -0.16328687592952165
-101.447001806 -14.96201162700001  -0.2825315448060619 -0.1968896018815998 -0.15384652132453616
-100.143877806 -12.875278627  -0.2597456766173147 -0.24912853068290702 -0.14324277789790274
-98.84075380600001 -10.788546627000002  -0.2173428199525005 -0.28374320355890753 -0.13280871031059893
-97.53762880599999 -8.701814627000005  -0.15766046183221596 -0.29972781540701804 -0.12355560471643029
-96.23450480599999 -6.615082627000007  -0.08508284780442345 -0.2973640618147692 -0.11614711560064207
-94.931379806 -4.528350627000009  -0.0051198839459607424 -0.27766875501621846 -0.11089646504897677
-93.628255806 -2.441618627000011  0.07560357083763326 -0.24247494227367394 -0.10787521354527362
-92.325131806 -0.35488662699999907  0.15026201716571605 -0.1944796648611117 -0.1069711619675947
-152.563898806 -104.861837627  0.21288621525646922 -0.13720756033839546 -0.10790221577307724
-151.260774806 -102.775105627  0.259219118969185 -0.07486061046477684 -0.11020620733001943
-149.957650806 -100.688373627  0.2880192615861091 -0.011819906452038537 -0.11376088075894225
-148.65452580599998 -98.601641627  0.30028439208535906 0.0479174051665638 -0.11868660886996979
-147.35140180599998 -96.51490962700001  0.2978246456455515 0.10119703733164576 -0.12518691441024155
-146.048276806 -94.428177627  0.2825478882083236 0.1466076549474979 -0.13350537895425704
-144.745152806 -92.341445627  0.2553634828601672 0.18336185203517852 -0.1437356815836329
-143.442028806 -90.254712627  0.21610923360762962 0.2100552522843803 -0.1558211800597682
-142.138903806 -88.167980627  0.164739079749728 0.22426908413375013 -0.1694069552066308
-140.835779806 -86.08124862700001  0.10340388619012335 0.22333773061799297 -0.18372066894769792
-139.53265580599998 -83.994516627  0.03496730087998817 0.20482566818992526 -0.19772664344332072
-138.22953080599999 -81.90778462700001  -0.03669344171489963 0.1678608902805547 -0.21017238620420567
-136.926406806 -79.821052627  -0.10721000318595857 0.11408282102101065 -0.21986130057052583
-135.623282806 -77.734320627  -0.17169430100839714 0.04744828457627996 -0.2260695879364595
